Step Temp msd[4] 
       0           10 2.159838e-25 
     100    10.020862    7.4471076 
     200    10.016092    29.147604 
     300     10.01866    64.306274 
     400    10.014737    112.20172 
     500    10.021895    172.39119 
     600    10.016801    244.22815 
     700     10.01951    326.42075 
     800    10.015334    418.67847 
     900    10.018699    520.23385 
    1000    10.026562     630.7155 
    1100    10.020091    750.57431 
    1200    10.023101    879.50032 
    1300    10.016782    1015.2173 
    1400    10.010211    1157.6991 
    1500    10.022089    1307.2445 
    1600    10.022941    1463.1941 
    1700    10.026272    1626.6839 
    1800    10.022122    1796.4337 
    1900    10.029395    1971.4303 
    2000    10.021028    2151.7372 
    2100    10.021194    2338.2764 
    2200    10.008721    2530.5291 
    2300    10.006995    2727.1298 
    2400    10.021068    2926.3668 
    2500    10.019406    3128.7661 
    2600    10.014199    3335.4765 
    2700    10.016144    3545.2107 
    2800    10.022692    3758.0391 
    2900    10.022026    3974.3772 
    3000    10.020177    4194.3922 
    3100    10.019586    4416.0322 
    3200    10.018233    4639.0418 
    3300    10.022441    4865.5273 
    3400    10.029077    5093.6323 
    3500    10.025949    5323.1883 
    3600    10.007645    5554.5139 
    3700    10.018059    5787.8697 
    3800     10.02256    6023.7821 
    3900    10.011362    6259.9776 
    4000    10.020294    6496.2442 
    4100    10.030558    6736.3754 
    4200    10.008857    6979.5094 
    4300     10.03105    7225.1479 
    4400    10.018874    7472.8301 
    4500    10.023393    7722.4379 
    4600    10.026121    7974.9507 
    4700    10.017561    8231.0769 
    4800    10.023555    8489.0823 
    4900    10.015633    8747.9689 
    5000    10.016387    9008.3455 
