Step Temp msd[4] 
       0            2 2.159838e-25 
     100    2.0001141    1.4996308 
     200    2.0179231    5.9702044 
     300    2.0261143    13.252364 
     400    2.0309736    23.309752 
     500    2.0310206    35.993195 
     600    2.0299788    51.148545 
     700    2.0330485    68.771637 
     800    2.0326857    88.836245 
     900    2.0404821     111.3245 
    1000    2.0390023    136.06392 
    1100    2.0354252    162.92225 
    1200    2.0357426    191.75568 
    1300    2.0377116     222.5402 
    1400    2.0375232    255.20211 
    1500    2.0344473    289.75861 
    1600    2.0394874    326.33264 
    1700    2.0416052    364.60767 
    1800    2.0382153    404.49024 
    1900    2.0355429    445.94374 
    2000    2.0387515    488.93615 
    2100    2.0398093    533.38599 
    2200    2.0384665    579.08978 
    2300    2.0381625    626.33065 
    2400    2.0391357    674.99167 
    2500    2.0399568    725.09738 
    2600     2.038472    776.43788 
    2700    2.0397181     828.6275 
    2800    2.0410208    881.84202 
    2900    2.0377147    935.99461 
    3000    2.0423244    991.17767 
    3100    2.0396088    1047.5315 
    3200    2.0392983    1104.9654 
    3300    2.0416247    1163.4809 
    3400    2.0424853    1222.8977 
    3500    2.0409145    1282.8407 
    3600    2.0405853    1343.6281 
    3700    2.0381509    1405.5546 
    3800    2.0401514    1468.2854 
    3900     2.039647    1531.9568 
    4000    2.0398808    1596.5214 
    4100    2.0435839     1661.997 
    4200     2.037967    1728.4395 
    4300    2.0394066     1795.575 
    4400    2.0391483    1863.2873 
    4500    2.0378112    1932.0211 
    4600    2.0385763    2001.8489 
    4700    2.0401996    2071.9396 
    4800    2.0389607    2142.3496 
    4900    2.0401102    2212.6726 
    5000    2.0363004    2283.6742 
