Step Temp msd[4] 
       0            3 2.159838e-25 
     100    3.0010594     2.249504 
     200     3.021132    8.9029226 
     300    3.0339655    19.754625 
     400    3.0303839     34.65432 
     500    3.0269004    53.342885 
     600    3.0297874    75.752978 
     700    3.0358593    101.83659 
     800    3.0365041    131.41546 
     900    3.0372763    164.22531 
    1000    3.0346171    200.18559 
    1100    3.0350146    239.21052 
    1200    3.0370935    281.02814 
    1300      3.03052    325.61986 
    1400    3.0370192    373.10528 
    1500    3.0343636    423.08043 
    1600    3.0342627    475.47809 
    1700    3.0322176    530.48532 
    1800    3.0329577    588.28687 
    1900    3.0359437    648.48087 
    2000    3.0357694     710.4629 
    2100    3.0308242    774.86189 
    2200    3.0322978    841.54225 
    2300    3.0358747    909.97896 
    2400    3.0303737    980.39391 
    2500     3.038445    1052.8425 
    2600    3.0340906    1126.5605 
    2700    3.0345098    1202.3515 
    2800    3.0353591    1279.4756 
    2900     3.034804    1358.0049 
    3000    3.0320265    1437.8542 
    3100    3.0329454    1518.7643 
    3200    3.0320683    1600.8448 
    3300    3.0376808    1684.1871 
    3400    3.0339985    1768.7846 
    3500    3.0342151    1855.2705 
    3600    3.0347043    1943.4924 
    3700    3.0360541    2033.2989 
    3800    3.0352393    2124.7344 
    3900    3.0320619    2217.6998 
    4000    3.0334022    2311.9372 
    4100    3.0336659    2407.6282 
    4200    3.0377285    2504.4631 
    4300    3.0373731    2602.1366 
    4400    3.0394895    2700.8367 
    4500    3.0348828    2799.4518 
    4600    3.0293123    2898.0504 
    4700    3.0331222    2997.5897 
    4800    3.0351893    3098.0779 
    4900    3.0378602    3199.4835 
    5000    3.0333243    3301.1438 
