Step Temp msd[4] 
       0            5 2.159838e-25 
     100    4.9960989    3.7481206 
     200    5.0243225     14.72574 
     300    5.0274505    32.611883 
     400    5.0242647    57.010946 
     500    5.0278058    87.765059 
     600    5.0328965    124.75749 
     700    5.0317377     167.6232 
     800    5.0278875    216.35647 
     900    5.0262443    270.25713 
    1000    5.0331608    329.33073 
    1100    5.0232267    393.11324 
    1200    5.0245721    460.84045 
    1300    5.0256349    532.90752 
    1400    5.0309926    609.45719 
    1500     5.029551    690.58369 
    1600    5.0319348    776.52473 
    1700    5.0281415    866.62796 
    1800    5.0323731    960.22903 
    1900    5.0321978    1056.5769 
    2000    5.0324514    1155.9316 
    2100    5.0302418    1258.4727 
    2200    5.0272384    1364.0598 
    2300    5.0304149    1472.7522 
    2400    5.0276165    1583.9235 
    2500    5.0284905    1697.5665 
    2600    5.0276937    1814.0657 
    2700    5.0290394     1931.694 
    2800    5.0292464    2050.9882 
    2900    5.0275645    2172.7414 
    3000    5.0277637    2295.9825 
    3100     5.028032    2420.8155 
    3200    5.0261536    2546.7324 
    3300    5.0339074    2673.8994 
    3400    5.0253745    2802.6787 
    3500    5.0291763    2932.7948 
    3600    5.0300007    3064.1103 
    3700     5.030264    3197.3544 
    3800    5.0279477    3333.4878 
    3900    5.0316519    3471.3963 
    4000    5.0270215    3610.8896 
    4100    5.0275371    3752.1272 
    4200    5.0223682    3894.9734 
    4300     5.030294     4039.637 
    4400    5.0254999    4186.5346 
    4500    5.0266619    4335.4703 
    4600    5.0255938    4486.0704 
    4700    5.0288266    4637.5147 
    4800    5.0319248    4790.4043 
    4900    5.0364635    4944.1557 
    5000    5.0308079    5098.7996 
