Step Temp 
       0          2.5 
     100    2.5003615 
     200    2.5329258 
     300    2.5294099 
     400    2.5238926 
     500     2.525852 
     600      2.53079 
     700    2.5321497 
     800    2.4942719 
     900    2.5238115 
    1000    2.5471242 
    1100    2.5478936 
    1200    2.5312212 
    1300    2.5442778 
    1400    2.5308534 
    1500     2.548875 
    1600    2.5567696 
    1700     2.532996 
    1800     2.523642 
    1900    2.5635854 
    2000    2.5327158 
    2100    2.5062178 
    2200    2.5268141 
    2300    2.5140052 
    2400    2.5445646 
    2500    2.5294412 
    2600    2.5237894 
    2700    2.5675228 
    2800    2.5598847 
    2900    2.5225055 
    3000    2.5140449 
    3100     2.549339 
    3200     2.532542 
    3300    2.5410914 
    3400    2.5315351 
    3500    2.5264246 
    3600    2.5353797 
    3700    2.5224713 
    3800    2.5364525 
    3900    2.5320425 
    4000    2.5340605 
    4100    2.5317277 
    4200    2.5043577 
    4300    2.5464523 
    4400    2.5187238 
    4500    2.5340457 
    4600    2.5449647 
    4700    2.5299875 
    4800    2.5040201 
    4900    2.5117983 
    5000    2.5349813 
